ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,80000,2,2,2,37,1,0,0,0,0,1,49796,49254,50496,63722,51466,59756,22567,20445,24037,20790,25492,35793,0
2,340000,2,1,2,36,-1,-1,0,-1,-1,0,58610,53341,54613,39843,41865,36263,52658,47901,53071,27144,31043,36263,0
3,90000,2,2,1,34,0,0,1,0,-1,1,76364,88847,70459,75253,83380,92679,23971,47985,26836,26049,22580,37342,0
4,40000,1,1,2,33,0,1,0,1,-1,0,16887,20728,17219,18465,21500,19826,2875,6322,4303,4951,8043,8106,1
5,160000,1,3,1,40,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,130000,2,2,1,29,-1,-1,-1,0,0,0,10110,9543,8658,7593,7567,7249,9084,8971,7502,7056,6395,7249,0
7,90000,2,2,1,21,0,-1,-1,0,0,0,44701,50246,48283,45204,48131,49080,17905,28992,27542,18328,18293,26567,1
8,130000,1,1,2,34,0,-1,0,0,0,-1,10097,8405,8349,9840,9887,10449,7640,5192,3061,5428,7100,9084,0
9,130000,1,2,1,43,0,0,0,0,-1,0,37003,38333,36857,33899,39693,38820,14859,14360,22698,23215,19539,19429,1
10,80000,1,2,1,40,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,60000,2,1,1,42,2,1,1,3,0,1,32987,33883,33215,27755,25924,26019,13878,4499,3032,9263,9419,14939,1
12,60000,2,1,1,31,0,0,0,0,0,0,26760,29359,26818,24211,25566,25685,4063,13295,16989,6734,9082,8166,1
13,340000,2,2,2,39,0,1,-1,0,0,0,74556,66790,67059,75144,72175,77582,30435,30839,29625,43034,39653,36398,1
14,80000,2,2,2,54,2,1,1,0,3,1,74160,63534,69497,69732,71383,62293,6228,26800,10767,1395,8665,16515,0
15,190000,2,2,2,24,0,0,0,0,0,0,144871,133252,150340,135155,122458,118780,34816,55471,74378,58309,37242,69922,0
16,240000,1,3,2,40,-1,-1,0,-1,0,-1,51858,45545,40100,37055,33685,31900,50988,38343,35281,24188,31736,20324,0
17,80000,1,6,1,32,0,0,1,1,0,-1,9876,11788,8706,8220,7743,7687,2836,6157,4396,2716,2695,4342,0
18,170000,1,3,2,47,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,130000,1,1,2,35,0,0,0,2,0,-1,73219,84028,68983,69640,63708,64813,12434,15397,21328,23619,34376,10913,0
20,70000,2,1,2,33,-1,0,0,-1,0,2,28306,33758,29220,26375,23432,20387,16244,7286,14350,9352,14218,10544,0
21,70000,2,2,2,23,0,-1,-1,0,-1,0,13798,13259,13441,12196,13928,12663,7239,8398,9850,6395,12257,6188,0
22,170000,1,3,1,27,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,90000,2,3,2,32,1,2,1,0,0,0,61451,61281,61225,56674,45768,46365,16686,25495,17052,11053,7711,6373,0
24,30000,2,2,1,43,1,-1,0,0,0,0,6551,6990,6301,5343,5127,4341,2470,4066,3668,3341,2672,3013,0
25,80000,2,3,1,49,0,-1,-1,-1,-1,0,15456,18082,17487,17149,17740,20960,11812,9393,8057,10981,12774,12213,0
26,70000,1,1,1,34,0,0,0,0,1,-1,32362,27571,31118,27003,27801,26026,20350,21445,24144,24838,17817,17344,0
27,80000,1,2,1,32,1,0,0,0,0,0,20666,22487,19922,21024,18100,18124,8478,13509,8111,6145,8381,8235,1
28,50000,1,1,2,38,0,-1,1,0,-1,0,29927,36288,43608,48413,45585,50070,13841,18127,24940,23492,20517,23315,0
29,110000,2,1,2,37,0,3,0,0,0,-1,93733,116393,114784,102784,106995,117894,25691,41814,40487,53361,39778,64009,0
30,120000,2,2,1,34,1,0,0,0,1,0,82740,81886,64589,68268,62919,58564,43226,45874,28430,32669,23354,14655,0
31,70000,2,1,1,35,4,2,1,1,0,1,77594,69862,73798,83598,87921,100878,1552,1397,4477,1672,1758,2018,0
32,90000,2,2,1,38,-1,-1,0,-1,1,0,27516,26644,28430,28486,30357,27095,15512,20252,25083,18858,27987,21079,0
33,80000,1,2,2,46,-1,0,0,-1,0,-1,32405,30096,30285,34173,34303,44611,28440,16660,21821,26197,25942,23885,0
34,150000,1,3,2,29,0,-1,-1,-1,0,1,13642,14069,12932,11962,12188,9875,10218,12036,10634,8641,9671,9873,0
35,40000,1,3,1,23,0,0,0,0,-1,0,24137,23096,18214,15634,14750,15474,10949,8986,7064,6344,3070,6799,1
36,250000,2,2,2,37,2,2,0,1,0,0,196728,251711,246832,206633,195409,182492,61587,55497,46050,66085,67611,63311,0
37,210000,2,2,1,27,0,0,-1,-1,0,0,80846,59175,69741,54773,49483,46398,48283,41212,24912,36035,27005,33508,0
38,30000,1,2,2,48,-1,0,0,0,0,-1,4537,4949,4859,3893,3502,3658,4037,4577,4511,2679,2950,3448,0
39,280000,1,1,2,38,-1,-1,-1,-1,0,0,69350,80521,71262,71925,64098,72473,46653,70693,59572,54312,45988,68934,0
40,120000,2,2,1,34,0,1,-1,0,-1,0,65562,69638,71064,63045,63170,66638,23472,41383,28949,11147,25962,30348,0
41,110000,2,3,1,35,0,0,0,0,0,1,79375,69394,80080,67330,67305,68586,25051,15034,30781,26090,19604,22496,0
42,80000,1,2,2,39,2,0,0,1,-1,1,24106,24284,28023,25978,30127,31858,3953,9431,9848,8334,10088,11143,0
43,170000,2,1,2,41,0,-1,-1,0,0,0,15390,16812,15488,17303,17987,12642,9948,15466,10928,12460,12122,7690,1
44,80000,1,1,1,57,0,0,0,0,-1,0,44842,45552,50226,48430,48943,50435,18507,17040,33257,23978,21106,31682,1
45,70000,1,1,1,26,1,0,-1,0,-1,-1,41728,35032,40745,35459,40664,43798,21349,21124,13241,21762,20827,19460,0
46,80000,1,2,2,44,0,2,0,0,-1,0,30260,28379,31634,30876,31892,26004,20759,14298,15503,15419,18380,15032,1
47,70000,2,3,1,55,2,2,1,0,0,0,46966,48745,45693,49657,41951,43369,9510,19307,2277,18200,15979,9001,0
48,100000,2,1,1,39,0,0,-1,0,-1,0,25075,23305,23124,23825,18121,18087,14457,12906,10042,4971,9092,10257,0
49,110000,2,2,1,36,1,0,1,-1,0,0,51602,44777,39697,39936,37786,29804,21767,9441,15628,14573,15233,8410,1
50,30000,1,2,1,32,0,-1,0,2,0,-1,12688,11547,10375,11186,11453,11890,5269,5574,6047,6472,6490,4503,0
51,140000,2,3,2,34,-1,1,-1,0,0,0,42888,46780,51637,53439,53875,50886,16951,18228,24086,22605,32989,18161,0
52,90000,1,1,1,35,0,1,0,0,-1,1,39169,38830,39340,47301,46966,50249,15659,13117,12933,18183,12493,10442,1
53,200000,1,2,1,46,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,130000,2,1,2,47,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,40000,2,2,2,31,0,-1,-1,-1,-1,0,4355,4682,4178,4027,4007,3741,3087,3961,3211,2724,3009,3395,0
